"Score","FirstReadIndex","StreamInfoPtr","ModeFlag","StreamBase","StreamSize","MatchReason","EntryIndex","Name","Extension","Hash","StoredSize","ExpandedSize","Flag","EntryOffset","EntryEnd","FirstAsciiSample"
"3","63650","0x6214524","0x0","0x197271a","430","size+offset","479","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_tank.gfx",".gfx","0x34B9A84A","255","430","0x11","26683162","26683417","GFX2............................"
"3","63651","0x630e874","0x0","0x19722d2","446","size+offset","475","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_enginefender.gfx",".gfx","0xB753A323","271","446","0x11","26682066","26682337","GFX2............................"
"3","63652","0x630c344","0x0","0x19725ec","600","size+offset","478","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_headlight.gfx",".gfx","0x2172B117","302","600","0x11","26682860","26683162","GFX2............................"
"3","63653","0x630c23c","0x0","0x1972117","1243","size+offset","474","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_backswing.gfx",".gfx","0x6788E905","443","1243","0x11","26681623","26682066","GFX2............................"
"3","63655","0x630bb04","0x0","0x19724e7","437","size+offset","477","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_fender_rear.gfx",".gfx","0x69A70491","261","437","0x11","26682599","26682860","GFX2............................"
"3","63656","0x630e814","0x0","0x1966be9","1998","size+offset","382","patch20/rims/componential_rim_1/componential_rim_front.gfx",".gfx","0xE2D4F71E","499","1998","0x11","26635241","26635740","GFX2............................"
"3","63658","0x630ee24","0x0","0x19669f9","1989","size+offset","381","patch20/rims/componential_rim_1/componential_rim_back.gfx",".gfx","0xDBCDCF84","496","1989","0x11","26634745","26635241","GFX2............................"
"3","63660","0x630cf34","0x0","0x19670ea","1186","size+offset","385","patch20/rims/fusion_rim/fusion_rim.gfx",".gfx","0xB272D1CF","381","1186","0x11","26636522","26636903","GFX2............................"
"3","63662","0x630ba54","0x0","0x1966f66","1197","size+offset","384","patch20/rims/evility_rim/evility_rim.gfx",".gfx","0xB964C483","388","1197","0x11","26636134","26636522","GFX2............................"
"3","63664","0x630dba4","0x0","0x16aeebd","438","size+offset","366","patch20/characters/plague_doctor_helmet/plague_doctor_helmet.gfx",".gfx","0x82808A6E","262","438","0x11","23785149","23785411","GFX2............................"
"3","63665","0x630ca84","0x0","0x16ae515","446","size+offset","357","patch20/characters/male_assassin/m_assassin_head.gfx",".gfx","0x4538C18B","267","446","0x11","23782677","23782944","GFX2............................"
"3","63666","0x630d6bc","0x0","0x16ae744","578","size+offset","359","patch20/characters/male_assassin/m_assassin_torso.gfx",".gfx","0xBDE44635","287","578","0x11","23783236","23783523","GFX2............................"
"3","63667","0x6214384","0x0","0x16ae620","582","size+offset","358","patch20/characters/male_assassin/m_assassin_legs.gfx",".gfx","0x257D6C26","292","582","0x11","23782944","23783236","GFX2............................"
"3","63668","0x630e914","0x0","0x16ae317","429","size+offset","355","patch20/characters/horror_mask/horror_mask.gfx",".gfx","0xD473C333","253","429","0x11","23782167","23782420","GFX2............................"
"3","63669","0x630c37c","0x0","0x16ae414","431","size+offset","356","patch20/characters/kraken_helmet/kraken_helmet.gfx",".gfx","0xFC40E519","257","431","0x11","23782420","23782677","GFX2............................"
"3","63670","0x630eb14","0x0","0x16ae863","434","size+offset","360","patch20/characters/male_punk/male_punk_head.gfx",".gfx","0x9D6AB361","258","434","0x11","23783523","23783781","GFX2............................"
"3","63671","0x630c81c","0x0","0x16aea8a","588","size+offset","362","patch20/characters/male_punk/male_punk_torso.gfx",".gfx","0xA79F696D","303","588","0x11","23784074","23784377","GFX2............................"
"3","63672","0x630e1b4","0x0","0x16ae965","583","size+offset","361","patch20/characters/male_punk/male_punk_legs.gfx",".gfx","0x812EBEBF","293","583","0x11","23783781","23784074","GFX2............................"
"3","63673","0x630c5a4","0x0","0x1955938","431","size+offset","369","patch20/characters/rabbit_helmet/rabbit_helmet.gfx",".gfx","0x4DD71D3D","255","431","0x11","26564920","26565175","GFX2............................"
"3","63674","0x630cf6c","0x0","0x16a2533","590","size+offset","338","patch20/characters/femaleoutfit_1/female_outfit_1_top.gfx",".gfx","0x9D4AE1D0","298","590","0x11","23733555","23733853","GFX2............................"
"3","63675","0x630edbc","0x0","0x16a22fe","594","size+offset","336","patch20/characters/femaleoutfit_1/female_outfit_1_bottom.gfx",".gfx","0x43E97F7E","302","594","0x11","23732990","23733292","GFX2............................"
"3","63676","0x630ef84","0x0","0x16a242c","440","size+offset","337","patch20/characters/femaleoutfit_1/female_outfit_1_helmet.gfx",".gfx","0x75763B9F","263","440","0x11","23733292","23733555","GFX2............................"
"3","63677","0x630dc64","0x0","0x16a1a9f","431","size+offset","328","patch20/characters/cyborg_helmet/cyborg_helmet.gfx",".gfx","0xAF350676","258","431","0x11","23730847","23731105","GFX2............................"
"3","63678","0x630f504","0x0","0x16a1ecb","428","size+offset","332","patch20/characters/dapper_pug/dapper_pug.gfx",".gfx","0x60B457EB","253","428","0x11","23731915","23732168","GFX2............................"
"3","63679","0x630b9ac","0x0","0x16a07d3","433","size+offset","310","patch20/characters/apocalypse_mask/apocalypse_mask.gfx",".gfx","0xC1408077","259","433","0x11","23726035","23726294","GFX2............................"
"3","63680","0x630f164","0x0","0x1955c51","587","size+offset","372","patch20/characters/rayman_outfit_1/rayman_torso.gfx",".gfx","0x6FDBF7BF","301","587","0x11","26565713","26566014","GFX2............................"
"3","63681","0x630e594","0x0","0x1955b34","571","size+offset","371","patch20/characters/rayman_outfit_1/rayman_legs.gfx",".gfx","0x18CED6F4","285","571","0x11","26565428","26565713","GFX2............................"
"3","63682","0x630c394","0x0","0x1955a37","429","size+offset","370","patch20/characters/rayman_outfit_1/rayman_helmet.gfx",".gfx","0xC5A0C919","253","429","0x11","26565175","26565428","GFX2............................"
"3","63683","0x630c57c","0x0","0x16a2f80","595","size+offset","347","patch20/characters/female_indian/female_indian_torso.gfx",".gfx","0xACEB213C","295","595","0x11","23736192","23736487","GFX2............................"
"3","63684","0x630ec54","0x0","0x16a2d4e","439","size+offset","345","patch20/characters/female_indian/female_indian_helmet.gfx",".gfx","0x2CE3EF75","264","439","0x11","23735630","23735894","GFX2............................"
"3","63685","0x630dd24","0x0","0x16a2e56","590","size+offset","346","patch20/characters/female_indian/female_indian_legs.gfx",".gfx","0x6926967E","298","590","0x11","23735894","23736192","GFX2............................"
"3","63686","0x630cee4","0x0","0x16a0ed3","436","size+offset","317","patch20/characters/bounty_hunter/bounty_hunter_helmet.gfx",".gfx","0x76F6A5CE","259","436","0x11","23727827","23728086","GFX2............................"
"3","63687","0x630eda4","0x0","0x16a0fd6","585","size+offset","318","patch20/characters/bounty_hunter/bounty_hunter_legs.gfx",".gfx","0xDB5B2B7E","296","585","0x11","23728086","23728382","GFX2............................"
"3","63688","0x630e66c","0x0","0x16a10fe","594","size+offset","319","patch20/characters/bounty_hunter/bounty_hunter_torso.gfx",".gfx","0xD066C701","305","594","0x11","23728382","23728687","GFX2............................"
"3","63689","0x630c2dc","0x0","0x1972819","436","size+offset","480","patch20/vehicles/bikes/rayman_roach/rayman_roach_engine.gfx",".gfx","0xA4188511","260","436","0x11","26683417","26683677","GFX2............................"
"3","63690","0x630efc4","0x0","0x197291d","443","size+offset","481","patch20/vehicles/bikes/rayman_roach/rayman_roach_engine_fender.gfx",".gfx","0x1C43F7A4","267","443","0x11","26683677","26683944","GFX2............................"
"3","63691","0x630bf7c","0x0","0x1972a28","442","size+offset","482","patch20/vehicles/bikes/rayman_roach/rayman_roach_exhaust.gfx",".gfx","0xB345FCD7","276","442","0x11","26683944","26684220","GFX2............................"
"3","63692","0x630ee5c","0x0","0x1972b3c","743","size+offset","483","patch20/vehicles/bikes/rayman_roach/rayman_roach_frame.gfx",".gfx","0xCE703B88","343","743","0x11","26684220","26684563","GFX2............................"
"3","63693","0x630f394","0x0","0x1972c93","278","size+offset","484","patch20/vehicles/bikes/rayman_roach/rayman_roach_front_fender.gfx",".gfx","0x5F7A17D9","212","278","0x11","26684563","26684775","GFX2............................"
"3","63694","0x630c504","0x0","0x1972d67","603","size+offset","485","patch20/vehicles/bikes/rayman_roach/rayman_roach_front_suspension.gfx",".gfx","0x3F5EA935","332","603","0x11","26684775","26685107","GFX2............................"
"3","63695","0x630ee84","0x0","0x1972eb3","742","size+offset","486","patch20/vehicles/bikes/rayman_roach/rayman_roach_head_light.gfx",".gfx","0xF289178B","441","742","0x11","26685107","26685548","GFX2............................"
"3","63696","0x630c084","0x0","0x1973180","438","size+offset","488","patch20/vehicles/bikes/rayman_roach/rayman_roach_steering.gfx",".gfx","0x588CECE5","261","438","0x11","26685824","26686085","GFX2............................"
"3","63697","0x630dc44","0x0","0x1973285","1073","size+offset","489","patch20/vehicles/bikes/rayman_roach/rayman_roach_swing_arm.gfx",".gfx","0xB64FD675","427","1073","0x11","26686085","26686512","GFX2............................"
"3","63699","0x630eabc","0x0","0x197306c","442","size+offset","487","patch20/vehicles/bikes/rayman_roach/rayman_roach_rear_fender.gfx",".gfx","0x15C53B53","276","442","0x11","26685548","26685824","GFX2............................"
