"Index","Name","Extension","Hash","StoredSize","ExpandedSize","Flag","Protected","Compressed","Offset","End"
"55","objects/pack20/bike_minx_tank_92503418.mdl",".mdl","0x10F5A09C","11372","11244","0x10","True","False","4604912","4616284"
"56","objects/pack20/bike_minx_wire_frame_1977429699.mdl",".mdl","0x8BB245E0","6486","6358","0x10","True","False","4616284","4622770"
"57","objects/pack20/bike_minx_wire_rear_3438299369.mdl",".mdl","0x318A5E90","3114","2986","0x10","True","False","4622770","4625884"
"58","objects/pack20/body_3800316381.mdl",".mdl","0x954C2014","255948","255820","0x10","True","False","4625884","4881832"
"59","objects/pack20/bounty_hunter_head_2400506055.mdl",".mdl","0x677B6A09","63738","63610","0x10","True","False","4881832","4945570"
"60","objects/pack20/bounty_hunter_legs_3054725473.mdl",".mdl","0xE6203256","285989","285861","0x10","True","False","4945570","5231559"
"61","objects/pack20/bounty_hunter_torso_3552621367.mdl",".mdl","0x4C58FBB2","248588","248460","0x10","True","False","5231559","5480147"
"62","objects/pack20/catrider_still_3761307275.mdl",".mdl","0xC06B59C4","565670","565542","0x10","True","False","5480147","6045817"
"63","objects/pack20/cat_rider_2_2119218817.mdl",".mdl","0x19C564A0","53724","53596","0x10","True","False","6045817","6099541"
"64","objects/pack20/cat_rider_983735987.mdl",".mdl","0x19F723DD","593843","593715","0x10","True","False","6099541","6693384"
"65","objects/pack20/cheetah_backswing_2752928713.mdl",".mdl","0x12DB3AE5","35647","35519","0x10","True","False","6693384","6729031"
"66","objects/pack20/cheetah_backswing_3433585337.mdl",".mdl","0x20176E9D","35652","35524","0x10","True","False","6729031","6764683"
"67","objects/pack20/cheetah_backswing_402872395.mdl",".mdl","0x67F3E93C","35652","35524","0x10","True","False","6764683","6800335"
"68","objects/pack20/cheetah_backswing_798942192.mdl",".mdl","0xC07EA378","35652","35524","0x10","True","False","6800335","6835987"
"69","objects/pack20/cheetah_engine_1254426453.mdl",".mdl","0x3680DE8E","101186","101058","0x10","True","False","6835987","6937173"
"70","objects/pack20/cheetah_engine_1907526078.mdl",".mdl","0x764A024A","101186","101058","0x10","True","False","6937173","7038359"
"71","objects/pack20/cheetah_engine_2816672723.mdl",".mdl","0x5ABC910E","101186","101058","0x10","True","False","7038359","7139545"
"72","objects/pack20/cheetah_engine_2836603877.mdl",".mdl","0x91080EEF","101186","101058","0x10","True","False","7139545","7240731"
"73","objects/pack20/cheetah_engine_fender_1221583678.mdl",".mdl","0xB275FDAA","32301","32173","0x10","True","False","7240731","7273032"
"74","objects/pack20/cheetah_exhaust_2529672648.mdl",".mdl","0x4B25C936","36997","36869","0x10","True","False","7273032","7310029"
"75","objects/pack20/cheetah_exhaust_3636672776.mdl",".mdl","0x01202752","37007","36879","0x10","True","False","7310029","7347036"
"76","objects/pack20/cheetah_exhaust_3748034281.mdl",".mdl","0xBB5E2FC8","37007","36879","0x10","True","False","7347036","7384043"
"77","objects/pack20/cheetah_exhaust_86085234.mdl",".mdl","0x2F4394DF","37007","36879","0x10","True","False","7384043","7421050"
"78","objects/pack20/cheetah_fender_front_1771381755.mdl",".mdl","0x687485E6","10151","10023","0x10","True","False","7421050","7431201"
"79","objects/pack20/cheetah_fender_front_1910176367.mdl",".mdl","0x5ACC409F","10131","10003","0x10","True","False","7431201","7441332"
"80","objects/pack20/cheetah_fender_front_2274726132.mdl",".mdl","0x8526BF2E","10161","10033","0x10","True","False","7441332","7451493"
"81","objects/pack20/cheetah_fender_front_3486927829.mdl",".mdl","0x296776D1","10161","10033","0x10","True","False","7451493","7461654"
"82","objects/pack20/cheetah_fender_front_3666612002.mdl",".mdl","0xE403ABC7","10161","10033","0x10","True","False","7461654","7471815"
"83","objects/pack20/cheetah_fender_rear_1501514725.mdl",".mdl","0xEBE2B9CB","14783","14655","0x10","True","False","7471815","7486598"
"84","objects/pack20/cheetah_fender_rear_1578233241.mdl",".mdl","0xFD3FF716","14921","14793","0x10","True","False","7486598","7501519"
"85","objects/pack20/cheetah_fender_rear_1872604162.mdl",".mdl","0x40A2C4AE","14911","14783","0x10","True","False","7501519","7516430"
"86","objects/pack20/cheetah_fender_rear_435638767.mdl",".mdl","0x2D9BCE6B","14921","14793","0x10","True","False","7516430","7531351"
"87","objects/pack20/cheetah_fender_rear_686467597.mdl",".mdl","0x3F81E2E0","14921","14793","0x10","True","False","7531351","7546272"
"88","objects/pack20/cheetah_frame_1164385867.mdl",".mdl","0xA77771E6","80105","79977","0x10","True","False","7546272","7626377"
"89","objects/pack20/cheetah_frame_2244325264.mdl",".mdl","0x54F32A25","80105","79977","0x10","True","False","7626377","7706482"
"90","objects/pack20/cheetah_frame_3501635998.mdl",".mdl","0x6E19F00B","80105","79977","0x10","True","False","7706482","7786587"
"91","objects/pack20/cheetah_frame_564405301.mdl",".mdl","0xE2974BD9","80100","79972","0x10","True","False","7786587","7866687"
"92","objects/pack20/cheetah_frame_rear_190992443.mdl",".mdl","0x5883AECF","39497","39369","0x10","True","False","7866687","7906184"
"93","objects/pack20/cheetah_frame_rear_1911444440.mdl",".mdl","0x734D3C21","39502","39374","0x10","True","False","7906184","7945686"
"94","objects/pack20/cheetah_frame_rear_2520335892.mdl",".mdl","0xFB47A666","39502","39374","0x10","True","False","7945686","7985188"
"95","objects/pack20/cheetah_frame_rear_2875063124.mdl",".mdl","0xA17D4439","39502","39374","0x10","True","False","7985188","8024690"
"96","objects/pack20/cheetah_front_suspension_2446532690.mdl",".mdl","0xDD701638","28970","28842","0x10","True","False","8024690","8053660"
"97","objects/pack20/cheetah_front_suspension_3415958921.mdl",".mdl","0x2FA8124C","28970","28842","0x10","True","False","8053660","8082630"
"98","objects/pack20/cheetah_front_suspension_640622143.mdl",".mdl","0x5C431755","28965","28837","0x10","True","False","8082630","8111595"
